what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.java.tasks,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.tasks",1259849477030
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1259849477202
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1259849479171
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1259849487592
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1259849490717
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1259849502014
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1259849513514
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849521202
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849529139
started,bundle,org.eclipse.mylyn.java.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.ui",1259849539561
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1259849539608
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1259849539608
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1259849539936
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1259849540811
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1259849542780
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1259849544420
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1259849565373
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849570561
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849582279
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849606889
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849610232
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849628107
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849631045
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849661232
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849682372
