what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1259849788512
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1259849788559
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1259849788575
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1259849788575
started,bundle,org.eclipse.jst.j2ee,1.1.301.v200909030330,"org.eclipse.jst.j2ee",1259849788590
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849793247
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1259849825403
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849838903
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849849324
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849867512
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1259849867543
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1259849871356
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1259849875918
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849919949
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849930996
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1259849935371
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1259849943839
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1259849945996
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1259849946246
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849981089
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849992824
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1259849995402
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1259849996402
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1259850014964
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1259850015011
