what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1259849404624
started,bundle,org.eclipse.ui.intro,3.3.1.v20090805_35x,"org.eclipse.ui.intro",1259849404624
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1259849404624
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1259849404624
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1259849404624
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1259849404640
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1259849404640
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1259849404640
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1259849404640
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1259849404640
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1259849404640
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1259849404640
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1259849404640
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1259849404640
os,sysinfo,,,"win32",1259849404640
arch,sysinfo,,,"x86",1259849404640
ws,sysinfo,,,"win32",1259849404640
locale,sysinfo,,,"en_US",1259849404640
processors,sysinfo,,,"2",1259849404640
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1259849404640
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1259849404640
java.specification.name,sysinfo,,,"Java Platform API Specification",1259849404640
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1259849404640
java.specification.version,sysinfo,,,"1.6",1259849404640
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1259849404640
