what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1259904416675
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259904425331
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259904430691
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1259904449331
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259904457925
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259938780259
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259938782150
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259938782619
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259938783400
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259938783415
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259938786634
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259938786759
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1259938787009
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1259938787009
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1259938787009
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1259938787009
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1259938787009
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1259938787009
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1259938787009
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1259938787009
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1259938787009
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.408.v200904211646,"org.eclipse.jst.ws.creation.ui",1259938787009
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.105.v200908192014,"org.eclipse.jst.ws.consumption.ui",1259938787025
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.407.v200905191120,"org.eclipse.jst.ws.consumption",1259938787025
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.400.v200901261650,"org.eclipse.jst.ws.uddiregistry",1259938787025
