what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1259904277113
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1259904277113
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1259904277113
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1259904277113
java.vm.specification.version,sysinfo,,,"1.0",1259904277113
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1259904277113
java.vm.version,sysinfo,,,"11.3-b02",1259904277113
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259904279816
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259904279816
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259904279957
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259904346285
started,bundle,org.eclipse.mylyn.java.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.ui",1259904354941
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1259904354988
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1259904354988
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1259904355332
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1259904355347
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1259904355363
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1259904355363
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1259904381472
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1259904393738
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1259904394488
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1259904394722
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1259904396644
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1259904396691
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1259904400081
