what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1259849688825
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1259849690138
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849692122
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849697872
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849705654
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849705794
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849705841
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1259849705857
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849712919
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849715435
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259849786512
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1259849788137
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1259849788169
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1259849788294
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1259849788309
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1259849788309
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1259849788325
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200908181930,"org.eclipse.jst.j2ee.core",1259849788325
started,bundle,org.eclipse.jem,2.0.300.v200901272200,"org.eclipse.jem",1259849788340
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1259849788340
started,bundle,org.eclipse.jst.jee,1.0.201.v200909030330,"org.eclipse.jst.jee",1259849788434
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1259849788465
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1259849788465
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1259849788481
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1259849788497
