what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1259850015073
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1259850017605
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259850017698
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259850019917
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1259850020620
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1259850020667
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1259850025292
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259850026011
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259851252612
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259851254378
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259851535095
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259851537720
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259851537720
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259851537876
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259852043451
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259852045420
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259852109540
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259852109665
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1259852109946
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1259852109946
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1259852109946
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1259852109946
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1259852109946
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1259852109946
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1259852109946
